年度,單位,案件,廠商,廠商設立日,結標日,設立到結標天數,廠商資本額,標案金額,標案金額/資本額,網址
2021,臺南市政府社會局,臺南市政府社會局委託辦理110年度鑽石婚表揚活動,跨介文化傳播有限公司,2006-10-04,2021-07-13,5396,3000000,670000,0.22,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210805&fn=BDM-1-53471923.xml
2021,臺南市政府社會局,"臺南市 110 年度長期照顧服務滿意度調查計畫",故鄉市場調查股份有限公司,1994-07-11,2021-07-20,9871,12000000,875000,0.07,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210803&fn=BDM-1-53469960.xml
2021,臺南市政府社會局,臺南市110年度父親節感恩表揚活動,跨介文化傳播有限公司,2006-10-04,2021-06-24,5377,3000000,740000,0.25,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210720&fn=BDM-1-53457386.xml
2021,臺南市政府社會局,臺南市政府社會局110年愛心餐食補給站計畫,全家便利商店股份有限公司,1988-08-18,2021-06-29,12003.041666667,3000000000,1304400,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210705&fn=BDM-1-53444146.xml
2021,臺南市政府社會局,臺南市政府社會局110年愛心餐食補給站計畫,萊爾富國際股份有限公司,1989-03-22,2021-06-29,11787,1500000000,1304400,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210705&fn=BDM-1-53444146.xml
2021,臺南市政府社會局,臺南市政府社會局110年愛心餐食補給站計畫,來來超商股份有限公司,1988-05-12,2021-06-29,12101.041666667,1600000000,1304400,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210705&fn=BDM-1-53444146.xml
2021,臺南市政府社會局,110年5月至12月臺南市麻豆社會福利中心系統保全服務,中興保全科技股份有限公司台南分公司,1982-12-14,2021-05-25,14042,1600000000,12560,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210601&fn=BDM-1-53415938.xml
2021,臺南市政府社會局,臺南市政府社會局110年購置小型復康巴士,台灣福祉科技有限公司,2003-09-23,2021-05-18,6447,30000000,2964000,0.1,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210524&fn=BDM-1-53409285.xml
2021,臺南市政府社會局,臺南市政府無障礙福利之家電梯設備汰舊更新,佳生工程企業有限公司,1994-02-08,2021-04-27,9940,20100000,2180000,0.11,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210518&fn=BDM-1-53404819.xml
2021,臺南市政府社會局,110年臺南市政府社會局多口袋背心含印繡字採購案,富雷克國際有限公司,2001-06-22,2021-05-13,7265,6000000,202000,0.03,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210517&fn=BDM-1-53403823.xml
2021,臺南市政府社會局,臺南市政府社會局110年民生物資開口契約採購案,東日榮實業有限公司,2017-12-20,2021-05-13,1240,1000000,1956336,1.96,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210517&fn=BDM-1-53403786.xml
2021,臺南市政府社會局,臺南市110年度母親節感恩表揚活動,跨介文化傳播有限公司,2006-10-04,2021-04-01,5293,3000000,750000,0.25,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210416&fn=BDM-1-53377804.xml
2021,臺南市政府社會局,臺南市政府社會局委託辦理身心障礙者生活狀況及福利需求調查,故鄉市場調查股份有限公司,1994-07-11,2021-02-09,9710,12000000,890000,0.07,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210324&fn=BDM-1-53359437.xml
2021,臺南市政府社會局,110年臺南市政府社會局租賃公務車1輛採購案,和運租車股份有限公司台南分公司,2003-11-17,2021-02-25,6310,12000000,312000,0.03,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210302&fn=BDM-1-53340888.xml
2021,臺南市政府社會局,臺南市北區原實踐派出所耐震補強工程案,美邦營造有限公司,2002-06-10,2021-02-09,6819,3600000,1826100,0.51,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210218&fn=BDM-1-53333131.xml
2021,臺南市政府社會局,臺南市政府社會局110年2月10日至12月31日社福卡採購案,一卡通票證股份有限公司,2014-01-29,2021-02-09,2568,1140000000,2354000,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210217&fn=BDM-1-53332000.xml
2021,臺南市政府社會局,臺南市松柏育樂中心全棟廢棄物委託清運服務案,昱威清潔有限公司,2015-06-02,2021-02-04,2074,1000000,310000,0.31,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210208&fn=BDM-1-53329301.xml
2021,臺南市政府社會局,新市區非營利托嬰中心室內裝修暨消防設施設備工程,蒼穹科技工程有限公司,2018-09-10,2021-01-14,857,3600000,1985000,0.55,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210204&fn=BDM-1-53327894.xml
2021,臺南市政府社會局,臺南市長照服務專線(1966)話務委託計畫,程高資訊服務股份有限公司,2016-05-27,2020-12-24,1672,30000000,1415356,0.05,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210204&fn=BDM-1-53327903.xml
2021,臺南市政府社會局,臺南市政府社會局委託辦理110年度老人生活狀況及福利需求調查,故鄉市場調查股份有限公司,1994-07-11,2020-12-24,9663,12000000,1000000,0.08,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210128&fn=BDM-1-53322050.xml
2021,臺南市政府社會局,臺南市松柏育樂中心高壓變電站汰換案,金太祥機電顧問有限公司,1994-01-24,2020-12-29,9836,10000000,1099501,0.11,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210113&fn=BDM-1-53308713.xml
2021,臺南市政府社會局,臺南市政府社會局110年度防疫物資提袋採購案,智橋企業有限公司,2014-07-02,2020-12-24,2367,2000000,132300,0.07,http://web.pcc.gov.tw/tps/main/pms/tps/atm/atmAwardAction.do?newEdit=false&searchMode=common&method=inquiryForPublic&pkAtmMain=53307107&tenderCaseNo=1090071
2021,臺南市政府社會局,臺南市政府社會局110年桌上型個人電腦組租賃案,百責企業有限公司,2016-09-26,2020-11-12,1508,40000000,534060,0.01,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210108&fn=BDM-1-53304903.xml
2021,臺南市政府社會局,臺南市政府社會局109年社會福利綜合大樓青少及婦女空間桌椅採購案,京兆元有限公司,2012-07-19,2020-12-29,3085,1000000,425800,0.43,http://web.pcc.gov.tw/tps/main/pms/tps/atm/atmAwardAction.do?newEdit=false&searchMode=common&method=inquiryForPublic&pkAtmMain=53303784&tenderCaseNo=1090074
2021,臺南市政府社會局,臺南市松柏育樂中心110年度清潔工作人力外包採購案,禾寬企業社(獨資),2020-10-12,2020-12-15,64,1000000,1053000,1.05,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210106&fn=BDM-1-53301284.xml
2021,臺南市政府社會局,臺南市政府社會局委託辦理「臺南市北區公設民營托嬰中心空間設計與施作案」,雅丞室內裝修設計(獨資),2014-05-07,2020-12-15,2414,200000,1545000,7.73,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53300034.xml
2021,臺南市政府社會局,110年度臺南市社會福利綜合大樓清潔人力外包,宏昌清潔景觀企業社(獨資),2002-08-26,2020-12-08,6679,300000,696000,2.32,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53300178.xml
2021,臺南市政府社會局,臺南市政府社會局110年1月1日至2月9日社福卡採購案,一卡通票證股份有限公司,2014-01-29,2020-12-29,2526,1140000000,232500,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53300160.xml
2021,臺南市政府社會局,臺南市松柏育樂中心室內空間改善工程案,清泰科技有限公司,2011-08-31,2020-12-29,3408,10000000,837000,0.08,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53299921.xml
2021,臺南市政府社會局,臺南市110年度聯護管理系統委託專業服務計畫,台灣受恩股份有限公司,2014-07-10,2020-12-17,2352,50000000,1590000,0.03,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53299982.xml
2021,臺南市政府社會局,110年度臺南市政府社會局委託辦理在宅緊急救援連線服務,龍邦保全股份有限公司,2013-10-24,2020-11-03,2567,200000000,2707440,0.01,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53300027.xml
2021,臺南市政府社會局,臺南市政府社會局委託辦理「109-110年臺南市中高齡婦女生活狀況調查」,循證民調有限公司,2014-02-20,2020-12-24,2499,3000000,1000000,0.33,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53299885.xml
2021,臺南市政府社會局,110年度臺南市社會福利津貼管理系統增修暨資料庫維護,立方科技股份有限公司,1991-12-24,2020-12-31,10600,50000000,520000,0.01,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53300111.xml
2021,臺南市政府社會局,110年度納智捷電動公務車2組電池租賃案,納智捷汽車股份有限公司,2008-05-29,2020-12-31,4599,9800000000,240000,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210105&fn=BDM-1-53300149.xml
2020,臺南市政府社會局,臺南市松柏育樂中心消防設備改善-第1次契約變更,清泰科技有限公司,2011-08-31,2020-12-15,3394,10000000,363200,0.04,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201218&fn=BDM-1-53277952.xml
2020,臺南市政府社會局,臺南市政府社會局110年度弱勢家庭居家及學習設備補助開口契約採購案,台灣囝仔行銷有限公司,2017-11-21,2020-12-10,1115,1000000,716850,0.72,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201214&fn=BDM-1-53271367.xml
2020,臺南市政府社會局,臺南市松柏育樂中心全棟室內及外牆委託清潔服務案,昱威清潔有限公司,2015-06-02,2020-11-12,1990,1000000,655678,0.66,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201208&fn=BDM-1-53264238.xml
2020,臺南市政府社會局,109年度臺南市政府社會局辦理照管中心訪視及防疫耗材備品採購案,維太豐生醫股份有限公司,2013-03-19,2020-11-03,2786,5000000,449300,0.09,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201204&fn=BDM-1-53260938.xml
2020,臺南市政府社會局,社會福利大樓南北棟頂樓防水工程,慶民營造有限公司,2017-05-26,2020-10-22,1245,10000000,1721452,0.17,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201026&fn=BDM-1-53222968.xml
2020,臺南市政府社會局,臺南市政府社會局北區社會福利服務中心室內裝修工程,壵品室內裝修設計有限公司,2010-05-17,2020-10-15,3804,8000000,1989000,0.25,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201020&fn=BDM-1-53218094.xml
2020,臺南市政府社會局,臺南市政府社會局109年度推廣國民年金業務宣導品採購案,軒彩企業社(獨資),2004-05-14,2020-09-22,5975,200000,670000,3.35,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200924&fn=BDM-1-53199252.xml
2020,臺南市政府社會局,臺南市109年度重陽節百歲人瑞禮品採購案,格言企業社(獨資),2002-10-28,2020-09-10,6527,200000,490000,2.45,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200922&fn=BDM-1-53195967.xml
2020,臺南市政府社會局,臺南市龍崎教養院樓梯間防火捲門工程,和晟營造有限公司,2001-04-30,2020-09-10,7073,3600000,436800,0.12,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200914&fn=BDM-1-53189958.xml
2020,臺南市政府社會局,臺南市中西區建國里活動中心變更使用執照及設備更新工程,蒼穹科技工程有限公司,2018-09-10,2020-09-10,731,3600000,7725000,2.15,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200914&fn=BDM-1-53189998.xml
2020,臺南市政府社會局,臺南市悠然綠園安養暨長期照顧中心機電修繕工程案,政汶企業有限公司,2018-06-15,2020-06-23,739,100000,237000,2.37,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200630&fn=BDM-1-53126935.xml
2020,臺南市政府社會局,臺南市七股托育資源中心新建工程案-第一次契約變更,龍銓土木工程有限公司,2009-03-11,2019-12-31,3947,16000000,1038050,0.06,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200903&fn=BDM-1-53182678.xml
2020,臺南市政府社會局,臺南市松柏育樂中心消防設備改善,清泰科技有限公司,2011-08-31,2020-08-31,3288,10000000,3049479,0.3,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200901&fn=BDM-1-53180171.xml
2020,臺南市政府社會局,兒童權利公約網路行銷案,簡訊設計行銷有限公司,2015-04-27,2020-08-04,1926,4500000,315000,0.07,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200901&fn=BDM-1-53179586.xml
2020,臺南市政府社會局,臺南市政府社會局東區暨安平區社會福利服務中心室內裝修工程,普生地室內裝修工程有限公司,1994-11-10,2020-08-25,9420,6000000,3800000,0.63,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200901&fn=BDM-1-53179448.xml
2020,臺南市政府社會局,臺南市政府社會局109年防疫救濟熟食便當開口契約案,原森料理,2018-05-29,2020-07-16,779,240000,800000,3.33,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200821&fn=BDM-1-53171563.xml
2020,臺南市政府社會局,臺南市政府社會局委託辦理109年度鑽石婚表揚活動,生命樹時創美學有限公司,2013-01-24,2020-07-02,2716,5000000,610000,0.12,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200817&fn=BDM-1-53167780.xml
2020,臺南市政府社會局,109年度績優志工暨績優團隊表揚活動,跨介文化傳播有限公司,2006-10-04,2020-07-16,5034,3000000,490000,0.16,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200817&fn=BDM-1-53167725.xml
2020,臺南市政府社會局,志工資訊系統平台功能擴充案,如是資訊有限公司,2007-01-25,2020-08-11,4947,2000000,400000,0.2,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200814&fn=BDM-1-53165996.xml
2020,臺南市政府社會局,臺南市立仁愛之家建物安全維護、修繕及園區建設工程-第一次契約變更,新毅營造工程有限公司,2015-04-30,2020-08-04,1923,5000000,1540000,0.31,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200807&fn=BDM-1-53160598.xml
2020,臺南市政府社會局,臺南市109年度長期照顧服務滿意度調查計畫,故鄉市場調查股份有限公司,1994-07-11,2020-07-16,9502,12000000,811000,0.07,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200731&fn=BDM-1-53155678.xml
2020,臺南市政府社會局,臺南市109年度聯護管理系統委託專業服務計畫,明基逐鹿股份有限公司,2003-11-25,2020-07-02,6064,500000000,1494000,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200731&fn=BDM-1-53155671.xml
2020,臺南市政府社會局,臺南市社會福利綜合大樓電梯汰舊更新,崇友實業股份有限公司台南分公司,1984-09-24,2020-07-09,13072,500000000,2470000,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200729&fn=BDM-1-53153048.xml
2020,臺南市政府社會局,臺南市政府社會局辦理109年度防疫物資開口契約採購案,象隆有限公司,2019-04-15,2020-07-14,456,500000,1400000,2.8,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200717&fn=BDM-1-53143670.xml
2020,臺南市政府社會局,臺南市109年度父親節感恩表揚活動,跨介文化傳播有限公司,2006-10-04,2020-06-11,4999,3000000,740000,0.25,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200710&fn=BDM-1-53137652.xml
2020,臺南市政府社會局,臺南市政府社會局109年愛心餐食補給站計畫,統一超商股份有限公司,1987-06-10,2020-06-23,12067.041666667,10500000000,3399960,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200629&fn=BDM-1-53125863.xml
2020,臺南市政府社會局,臺南市政府社會局109年愛心餐食補給站計畫,全家便利商店股份有限公司,1988-08-18,2020-06-23,11632.041666667,3000000000,3399960,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200629&fn=BDM-1-53125863.xml
2020,臺南市政府社會局,臺南市政府社會局109年愛心餐食補給站計畫,萊爾富國際股份有限公司,1989-03-22,2020-06-23,11416,1500000000,3399960,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200629&fn=BDM-1-53125863.xml
2020,臺南市政府社會局,臺南市政府社會局109年愛心餐食補給站計畫,來來超商股份有限公司,1988-05-12,2020-06-23,11730.041666667,1600000000,3399960,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200629&fn=BDM-1-53125863.xml
2020,臺南市政府社會局,社會福利綜合大樓南北棟LED燈具等6項1617盞汰換及調整作業,綠色地球實業有限公司,2010-05-05,2020-06-11,3690,800000,271000,0.34,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200615&fn=BDM-1-53115243.xml
2020,臺南市政府社會局,臺南市松柏育樂中心耐震補強暨修繕工程-第5次契約變更,龍銓土木工程有限公司,2009-03-11,2020-05-26,4094,16000000,2380000,0.15,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200528&fn=BDM-1-53099940.xml
2020,臺南市政府社會局,109年度臺南市政府社會局辦理國民年金業務宣導品採購案,虹羚企業社(獨資),2017-09-07,2020-05-21,987,200000,799880,4,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200526&fn=BDM-1-53097718.xml
2020,臺南市政府社會局,臺南市政府社會局北區社會福利服務中心室內裝修工程委託規劃設計監造案,豪文室內裝修設計工作室(獨資),1997-06-03,2020-04-30,8367,2000000,160000,0.08,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200526&fn=BDM-1-53097792.xml
2020,臺南市政府社會局,臺南市政府社會局109年購置小型復康巴士,台灣福祉科技有限公司,2003-09-23,2020-05-14,6078,30000000,2952000,0.1,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200518&fn=BDM-1-53091175.xml
2020,臺南市政府社會局,「臺南市六甲區住宿式長照機構委託民間經營管理」前置作業案,台灣促參顧問有限公司,2005-02-22,2020-03-24,5509,5000000,1890000,0.38,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200507&fn=BDM-1-53083128.xml
2020,臺南市政府社會局,臺南市109年度母親節感恩表揚活動,跨介文化傳播有限公司,2006-10-04,2020-03-10,4906,3000000,740000,0.25,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200414&fn=BDM-1-53062653.xml
2020,臺南市政府社會局,臺南市松柏育樂中心耐震補強暨修繕工程-第4次契約變更,龍銓土木工程有限公司,2009-03-11,2019-12-19,3935,16000000,9360500,0.59,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200401&fn=BDM-1-53054623.xml
2020,臺南市政府社會局,臺南市松柏育樂中心耐震補強暨修繕工程-第3次契約變更,龍銓土木工程有限公司,2009-03-11,2019-09-19,3844,16000000,2777050,0.17,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200401&fn=BDM-1-53054616.xml
2020,臺南市政府社會局,臺南市政府社會局109年民生物資開口契約採購案,東日榮實業有限公司,2017-12-20,2020-03-19,820,1000000,1751200,1.75,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200324&fn=BDM-1-53045915.xml
2020,臺南市政府社會局,臺南市政府社會局108年愛心餐食補給站計畫-第一次契約變更,統一超商股份有限公司,1987-06-10,2020-02-25,11948.041666667,10500000000,349410,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200227&fn=BDM-1-53026524.xml
2020,臺南市政府社會局,臺南市政府社會局108年愛心餐食補給站計畫-第一次契約變更,全家便利商店股份有限公司,1988-08-18,2020-02-25,11513.041666667,3000000000,349410,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200227&fn=BDM-1-53026524.xml
2020,臺南市政府社會局,臺南市政府社會局108年愛心餐食補給站計畫-第一次契約變更,來來超商股份有限公司,1988-05-12,2020-02-25,11611.041666667,1600000000,349410,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200227&fn=BDM-1-53026524.xml
2020,臺南市政府社會局,臺南市政府社會局108年愛心餐食補給站計畫-第一次契約變更,萊爾富國際股份有限公司,1989-03-22,2020-02-25,11297,1500000000,349410,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200227&fn=BDM-1-53026524.xml
2020,臺南市政府社會局,臺南市龍崎教養院圍牆修復工程,長緯營造有限公司,1998-08-12,2020-02-20,7862,3000000,1145000,0.38,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200224&fn=BDM-1-53022387.xml
2020,臺南市政府社會局,臺南市政府社會局109年婦女節活動－婦女團體共識營暨成果發表會,沐荳設計有限公司,2018-06-22,2020-02-04,592,3050000,520000,0.17,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200215&fn=BDM-1-53016557.xml
2020,臺南市政府社會局,109年納智捷電動公務車2組電池租賃案,納智捷汽車股份有限公司,2008-05-29,2020-01-16,4249,9800000000,220000,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200122&fn=BDM-1-53002133.xml
2020,臺南市政府社會局,臺南市政府社會局109年度弱勢家庭居家及學習設備補助開口契約採購案,家福股份有限公司,1987-09-19,2020-01-14,11805,9000000000,494815,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200120&fn=BDM-1-52999064.xml
2020,臺南市政府社會局,109年度臺南市社會福利綜合大樓清潔人力外包,宏昌清潔景觀企業社(獨資),2002-08-26,2020-01-14,6350,300000,685896,2.29,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200116&fn=BDM-1-52997434.xml
2019,臺南市政府社會局,臺南市政府社會局108年桌上型個人電腦組租賃案,長勇科技有限公司,2004-11-05,2018-12-27,5165,3000000,481440,0.16,http://web.pcc.gov.tw/tps/main/pms/tps/atm/atmAwardAction.do?newEdit=false&searchMode=common&method=inquiryForPublic&pkAtmMain=52666963&tenderCaseNo=1080020
2020,臺南市政府社會局,臺南市政府社會局109年桌上型個人電腦組租賃案,長勇科技有限公司,2004-11-05,2019-12-31,5534,3000000,696000,0.23,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200106&fn=BDM-1-52983889.xml
2019,臺南市政府社會局,臺南市七股托育資源中心新建工程案,龍銓土木工程有限公司,2009-03-11,2018-12-27,3578,16000000,11500500,0.72,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20190103&fn=BDM-1-52667071.xml
2020,臺南市政府社會局,109年度臺南市政府社會局委託辦理在宅緊急救援連線服務,龍邦保全股份有限公司,2013-10-24,2019-11-19,2217,200000000,2684100,0.01,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200102&fn=BDM-1-52979321.xml
2019,臺南市政府社會局,109年度臺南市社會福利津貼管理系統增修暨資料庫維護,立方科技股份有限公司,1991-12-24,2019-12-30,10233,50000000,512905,0.01,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20191231&fn=BDM-1-52978625.xml
