年度,單位,案件,廠商,廠商設立日,結標日,設立到結標天數,廠商資本額,標案金額,標案金額/資本額,網址
2021,屏東縣屏東市公所,民生路(演藝廳前)及成功路49號等路段溝蓋修復工程,塏旺營造工程有限公司,1996-09-13,2021-08-25,9112,3600000,798000,0.22,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210826&fn=BDM-1-53489619.xml
2021,屏東縣屏東市公所,屏東市殯葬管理所辦公室建置及禮廳裝修工程,鴻銓營造有限公司,2016-07-22,2021-08-18,1853,3600000,2280000,0.63,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210825&fn=BDM-1-53488635.xml
2021,屏東縣屏東市公所,三山里海豐街18巷護欄設置工程,塏旺營造工程有限公司,1996-09-13,2021-08-18,9105,3600000,500000,0.14,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210819&fn=BDM-1-53483842.xml
2021,屏東縣屏東市公所,屏東市建華二街及建華三街道路拓寬工程-屏東市建華三街道路拓寬等工程第1次變更設計增加項目,承鼎營造有限公司,1998-09-07,2021-08-11,8374,5000000,1000000,0.2,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210813&fn=BDM-1-53479677.xml
2021,屏東縣屏東市公所,110年屏東市親子聯歡松蓋讚暨社區聯誼賽,蘋果娛樂有限公司,2020-11-17,2021-07-28,253,1000000,980000,0.98,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210810&fn=BDM-1-53475483.xml
2021,屏東縣屏東市公所,公館里公華街241巷道路排水改善工程,甘霖土木包工業(獨資),1984-04-13,2021-08-04,13627,1100000,478000,0.43,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210805&fn=BDM-1-53472150.xml
2021,屏東縣屏東市公所,興樂里中華路(林森路至公園路)道路改善工程,健勇土木包工業有限公司,1997-10-07,2021-07-28,8695,5000000,257000,0.05,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210729&fn=BDM-1-53466063.xml
2021,屏東縣屏東市公所,110-屏東市民生路7巷41號前路面改善工程,健勇土木包工業有限公司,1997-10-07,2021-07-28,8695,5000000,225000,0.05,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210729&fn=BDM-1-53466076.xml
2021,屏東縣屏東市公所,110-屏東市信和里金城街90巷及94巷等路面改善工程,健勇土木包工業有限公司,1997-10-07,2021-07-28,8695,5000000,420000,0.08,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210729&fn=BDM-1-53466042.xml
2021,屏東縣屏東市公所,屏東市110年度路口監視系統維修第二階段(開口契約),旻翔科技工程行(獨資),2017-11-10,2021-07-21,1349,200000,416781,2.08,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210722&fn=BDM-1-53459918.xml
2021,屏東縣屏東市公所,110-屏東市信和里泰和41號前路面改善工程,鴻甲營造有限公司,2017-10-20,2021-07-21,1370,15000000,370000,0.02,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210722&fn=BDM-1-53459903.xml
2021,屏東縣屏東市公所,屏東市和興段779地號土地旁道路拓寬工程,富宸營造有限公司,2021-05-20,2021-07-07,48,3600000,10300000,2.86,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210715&fn=BDM-1-53453544.xml
2021,屏東縣屏東市公所,屏東市廣興運動公園籃球場增設風雨球場設施新建工程,鼎尚營造股份有限公司,1997-09-23,2021-07-14,8695,20000000,57838000,2.89,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210715&fn=BDM-1-53453629.xml
2021,屏東縣屏東市公所,屏東市清潔隊停車場辦公室新建暨周邊環境整修工程第1次變設計,泰圓營造股份有限公司,2008-10-23,2021-07-08,4641,30000000,240000,0.01,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210712&fn=BDM-1-53449709.xml
2021,屏東縣屏東市公所,110年度屏東縣農地野鼠共同防治計畫-0.005%可滅鼠毒餌藥劑採購案,宇慶化工股份有限公司,1979-08-16,2021-07-07,15301,15000000,269280,0.02,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210708&fn=BDM-1-53447468.xml
2021,屏東縣屏東市公所,屏東市國民運動中心營運移轉案,阿堤斯股份有限公司,2010-12-07,2021-05-26,3823,20000000,27730000,1.39,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210702&fn=BDM-1-53443009.xml
2021,屏東縣屏東市公所,屏東市公所大樓暨第二、六老人會無障礙設施改善工程,開登營造股份有限公司,2012-12-13,2021-06-30,3121,12000000,945000,0.08,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210701&fn=BDM-1-53440956.xml
2021,屏東縣屏東市公所,屏東市永安社區活動中心屋頂防水改善及內部整修工程,尚鼎工程有限公司,2008-11-06,2021-06-30,4619,1000000,498000,0.5,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210701&fn=BDM-1-53440967.xml
2021,屏東縣屏東市公所,「屏東縣屏東市九如鄉玉水段1147地號(歸園環保多元葬區周邊)裸露地綠化計畫」委託規劃設計監造技術服務,啟信工程顧問有限公司,2012-02-24,2021-06-09,3393,1000000,622300,0.62,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210630&fn=BDM-1-53439920.xml
2021,屏東縣屏東市公所,屏東市大武板彈球場新建工程,麗程營造有限公司,2017-05-08,2021-06-24,1508,13000000,1590000,0.12,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210625&fn=BDM-1-53436201.xml
2021,屏東縣屏東市公所,110年度屏東市道路、排水及相關設施改善工程委託規劃設計監造技術服務(開口契約),協昌工程顧問有限公司,2010-05-04,2021-06-09,4054,2000000,831250,0.42,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210624&fn=BDM-1-53435361.xml
2021,屏東縣屏東市公所,屏東市永大、北區、東區、中央第2商場設施改善工程第一次變更設計新增項目,丞信營造有限公司,2011-10-24,2021-06-21,3528,6000000,270000,0.05,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210623&fn=BDM-1-53433629.xml
2021,屏東縣屏東市公所,110年度屏東縣屏東市公所「數位社區監視系統服務租賃案」,觀昇有線電視股份有限公司,1996-10-22,2021-06-10,8997,1600000000,5747632,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210623&fn=BDM-1-53433772.xml
2021,屏東縣屏東市公所,屏東市110年度轄區排水溝圳清理(開口契約),順旺土木包工業(獨資),2015-10-23,2021-06-17,2064,1000000,2360000,2.36,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210618&fn=BDM-1-53429689.xml
2021,屏東縣屏東市公所,精忠巷及旭東巷等路面改善工程,偉展營造有限公司,2016-09-19,2021-06-09,1724,25000000,443000,0.02,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210610&fn=BDM-1-53423562.xml
2021,屏東縣屏東市公所,110-屏東市勝利里忠孝路247巷路面改善工程,偉展營造有限公司,2016-09-19,2021-06-09,1724,25000000,350000,0.01,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210610&fn=BDM-1-53423580.xml
2021,屏東縣屏東市公所,中華路(勝利路至濟南街)路面改善工程,偉展營造有限公司,2016-09-19,2021-06-09,1724,25000000,454000,0.02,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210610&fn=BDM-1-53423621.xml
2021,屏東縣屏東市公所,屏東市老人會館拆除及綠化工程案,舜政營造有限公司,2002-10-21,2021-05-05,6771,3600000,1191820,0.33,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210520&fn=BDM-1-53407400.xml
2021,屏東縣屏東市公所,建國路屏東高工前溝蓋改善等工程,甘霖土木包工業,1984-04-13,2021-05-19,13550,1100000,535000,0.49,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210520&fn=BDM-1-53407498.xml
2021,屏東縣屏東市公所,110-屏東市勝利里公正二街路面改善工程,國生工程行,2021-01-22,2021-05-19,117,1000000,356000,0.36,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210520&fn=BDM-1-53407444.xml
2021,屏東縣屏東市公所,信和里金城街55巷道路改善工程,國生工程行,2021-01-22,2021-05-19,117,1000000,318000,0.32,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210520&fn=BDM-1-53407466.xml
2021,屏東縣屏東市公所,新生里復興南路一段376巷內路面改善工程,偉展營造有限公司,2016-09-19,2021-05-19,1703,25000000,290000,0.01,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210520&fn=BDM-1-53407422.xml
2021,屏東縣屏東市公所,(109)屏東市大武里武威街63巷等路面改善工程,本發土木包工業(獨資),2019-07-16,2021-05-12,666,5000000,524000,0.1,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210513&fn=BDM-1-53400883.xml
2021,屏東縣屏東市公所,(110)屏東市永安圳旁、公華街241巷等道路改善工程,國生工程行(獨資),2021-01-22,2021-05-12,110,1000000,630000,0.63,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210513&fn=BDM-1-53400835.xml
2021,屏東縣屏東市公所,溝美活動中心前及長春街路面改善工程,偉展營造有限公司,2016-09-19,2021-05-12,1696,25000000,617000,0.02,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210513&fn=BDM-1-53400803.xml
2021,屏東縣屏東市公所,110-屏東市公館里、新興里等巷道路面改善工程,偉展營造有限公司,2016-09-19,2021-05-05,1689,25000000,553000,0.02,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210506&fn=BDM-1-53394867.xml
2021,屏東縣屏東市公所,110年屏東縣屏東市武立、武威、自立公園改善設計及工程委託規劃設計監造技術服務,啟信工程顧問有限公司,2012-02-24,2021-04-21,3344,1000000,437955,0.44,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210506&fn=BDM-1-53395489.xml
2021,屏東縣屏東市公所,屏東市110年轄區緊急搶險搶修及運輸操作(開口契約),甘霖土木包工業(獨資),1984-04-13,2021-04-28,13529,1100000,3250000,2.95,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210429&fn=BDM-1-53388757.xml
2021,屏東縣屏東市公所,110年屏東市公所緊急租用救災機具開口契約,永泰環保社(獨資),2006-08-04,2021-04-28,5381,460000,2185322,4.75,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210429&fn=BDM-1-53388720.xml
2021,屏東縣屏東市公所,(110)屏東市華一街等道路改善工程,偉展營造有限公司,2016-09-19,2021-04-21,1675,25000000,475000,0.02,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210422&fn=BDM-1-53382672.xml
2021,屏東縣屏東市公所,仁義里仁義16之11號前路面改善工程,鴻甲營造有限公司,2017-10-20,2021-04-21,1279,15000000,470000,0.03,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210422&fn=BDM-1-53382720.xml
2021,屏東縣屏東市公所,(110)屏東市大連路40巷等道路改善工程,偉展營造有限公司,2016-09-19,2021-04-21,1675,25000000,446000,0.02,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210422&fn=BDM-1-53382690.xml
2021,屏東縣屏東市公所,公正三街(信義路至公德街)路面改善工程,偉展營造有限公司,2016-09-19,2021-04-21,1675,25000000,456000,0.02,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210422&fn=BDM-1-53382742.xml
2021,屏東縣屏東市公所,屏東市110年度轄區交通設施工程(開口契約),弘宮企業有限公司,1981-08-12,2021-04-14,14490,7500000,1470455,0.2,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210415&fn=BDM-1-53376352.xml
2021,屏東縣屏東市公所,屏東市110年度風雨災公園綠地及街道樹木緊急搶修搶險(開口契約),希綠園藝企業行(獨資),2014-10-08,2021-04-14,2380,240000,2700000,11.25,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210415&fn=BDM-1-53376387.xml
2021,屏東縣屏東市公所,(110)屏東市頂柳里頂柳路175巷排水改善工程,塏旺營造工程有限公司,1996-09-13,2021-04-07,8972,3600000,658000,0.18,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210408&fn=BDM-1-53369811.xml
2021,屏東縣屏東市公所,屏東市建華二街及建華三街道路拓寬工程-屏東市建華三街道路拓寬等工程,承鼎營造有限公司,1998-09-07,2021-04-07,8248,5000000,11280000,2.26,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210408&fn=BDM-1-53369785.xml
2021,屏東縣屏東市公所,屏東市110年度轄區道路及排水等零星工程(開口契約),甘霖土木包工業(獨資),1984-04-13,2021-04-07,13508,1100000,3760000,3.42,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210408&fn=BDM-1-53369765.xml
2021,屏東縣屏東市公所,新興里復興南路一段505巷擋土牆改善工程,甘霖土木包工業(獨資),1984-04-13,2021-03-31,13501,1100000,313000,0.28,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210401&fn=BDM-1-53366082.xml
2021,屏東縣屏東市公所,桂林街等道路改善工程,冠億土木工程有限公司,2005-08-18,2021-03-10,5683,3050000,798000,0.26,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210323&fn=BDM-1-53357598.xml
2021,屏東縣屏東市公所,110年屏東生態城市市政網路行銷案,創兆國際策略有限公司,2016-01-14,2021-03-10,1882,1000000,840000,0.84,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210323&fn=BDM-1-53357605.xml
2021,屏東縣屏東市公所,屏東市都市計畫土地使用分區證明書核發建置計畫服務案,經緯航太科技股份有限公司,2004-05-07,2021-02-19,6132,1000000000,970000,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210323&fn=BDM-1-53357816.xml
2021,屏東縣屏東市公所,屏東市110年橋樑河川水位防災預警監視系統租賃,觀昇有線電視股份有限公司,1996-10-22,2021-03-17,8912,1600000000,250000,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210318&fn=BDM-1-53353954.xml
2021,屏東縣屏東市公所,屏東市廣興公園網球場、排球場及匹克球場整建工程,士鴻營造股份有限公司,1997-11-10,2021-03-17,8528,28000000,5110000,0.18,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210318&fn=BDM-1-53353921.xml
2021,屏東縣屏東市公所,109年度屏東市橋梁維修補強工程,高齊營造有限公司,2005-11-23,2021-03-17,5593,7000000,796000,0.11,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210318&fn=BDM-1-53353969.xml
2021,屏東縣屏東市公所,永安里建南路168巷口路面改善工程,鴻甲營造有限公司,2017-10-20,2021-03-10,1237,15000000,280000,0.02,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210311&fn=BDM-1-53348566.xml
2021,屏東縣屏東市公所,屏東市110年度轄區路面改善工程(開口契約),鴻廣達營造股份有限公司,2013-02-21,2021-03-03,2932,60000000,3340000,0.06,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210304&fn=BDM-1-53342784.xml
2021,屏東縣屏東市公所,2021年屏東市新春燈會燈區委託設計、製作及展出案第一次變設計新增項目,順裕昕光電有限公司,2018-03-23,2021-01-29,1043,6000000,260000,0.04,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210219&fn=BDM-1-53334081.xml
2021,屏東縣屏東市公所,110年『屏東好市』季刊採訪編印案,瑞立迅整合顧問有限公司,2020-10-13,2021-01-27,106,1200000,880000,0.73,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210205&fn=BDM-1-53328757.xml
2021,屏東縣屏東市公所,110年度社區營造觀摩暨幹部研習,蕎銘旅行社有限公司,2013-06-24,2021-01-27,2774,10000000,480000,0.05,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210204&fn=BDM-1-53327831.xml
2021,屏東縣屏東市公所,110年度屏東市立殯儀館火化爐及空氣污染防制設備養護勞務採購案(開口契約),中亞環保工程股份有限公司,1995-06-30,2021-01-20,9336,42000000,2630000,0.06,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210203&fn=BDM-1-53325657.xml
2021,屏東縣屏東市公所,屏東縣屏東市110年度路燈及路牌災害緊急處置工程（開口契約）,春金電氣行,1970-03-07,2021-01-27,18589,1000000,935000,0.94,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210128&fn=BDM-1-53321737.xml
2021,屏東縣屏東市公所,110年度屏東市清潔隊特殊車輛機具維修,輝明車體有限公司,2009-06-26,2021-01-27,4233,15000000,623000,0.04,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210128&fn=BDM-1-53321730.xml
2021,屏東縣屏東市公所,110年屏東市公園綠地及道路等樹木具公共危險或妨礙公共利益修剪(開口契約),希綠園藝企業行(獨資),2014-10-08,2021-01-06,2282,240000,810000,3.38,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210127&fn=BDM-1-53320104.xml
2021,屏東縣屏東市公所,110年屏東市里鄰長研習暨文康活動,蕎銘旅行社有限公司,2013-06-24,2021-01-06,2753,10000000,4200000,0.42,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210120&fn=BDM-1-53315287.xml
2021,屏東縣屏東市公所,110年度屏東市清潔隊各式清潔車輛機具維修,佑乙汽車企業有限公司,2005-04-29,2020-12-30,5724,10000000,4420000,0.44,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210114&fn=BDM-1-53309924.xml
2021,屏東縣屏東市公所,110年度屏東市南區鄰里公園綠地養護(開口契約),惟興工程有限公司,2011-08-19,2021-01-06,3428,1500000,3220000,2.15,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210114&fn=BDM-1-53309956.xml
2021,屏東縣屏東市公所,屏東市110年度北區鄰里公園綠地養護(開口契約),惟興工程有限公司,2011-08-19,2021-01-06,3428,1500000,7520000,5.01,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210114&fn=BDM-1-53309971.xml
2021,屏東縣屏東市公所,110年度屏東市中央分隔島綠美化養護(開口契約),軒山園藝有限公司,1996-05-09,2021-01-06,9008,2000000,4929273,2.46,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210114&fn=BDM-1-53310076.xml
2021,屏東縣屏東市公所,屏東市110年度轄區路燈整建工程(開口契約),春金電氣行,1970-03-07,2021-01-13,18575,1000000,2384500,2.38,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210114&fn=BDM-1-53309896.xml
2021,屏東縣屏東市公所,"屏東市110年度路口監視系統維修 (開口契約)",旻翔科技工程行(獨資),2017-11-10,2021-01-13,1160,200000,1188288,5.94,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210114&fn=BDM-1-53309884.xml
2021,屏東縣屏東市公所,建華一街(建民路至建華三街)路面改善工程,玖源營造股份有限公司,2020-10-29,2021-01-13,76,3600000,1240000,0.34,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210114&fn=BDM-1-53309849.xml
2021,屏東縣屏東市公所,110年屏東市里長報紙訂閱,自由文化事業股份有限公司,2005-07-01,2020-12-23,5654,300000000,125280,0,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210108&fn=BDM-1-53304550.xml
2021,屏東縣屏東市公所,屏東市公所109年工作檢討暨歲末聯誼餐會勞務採購案,晶滿企業社(獨資),2019-08-31,2020-12-23,480,1100000,168000,0.15,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210107&fn=BDM-1-53302923.xml
2021,屏東縣屏東市公所,屏東市林森路一巷道路開闢工程委託設計監造技術服務案,允成工程顧問有限公司,2010-11-12,2020-12-16,3687,2000000,994250,0.5,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210107&fn=BDM-1-53303058.xml
2021,屏東縣屏東市公所,屏東縣屏東市公所共桿號誌燈箱燈具換裝工程,順等企業工程有限公司,1987-04-28,2021-01-06,12307.041666667,8200000,420000,0.05,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210107&fn=BDM-1-53303028.xml
2021,屏東縣屏東市公所,屏東市六塊厝排水左岸綠地噴灌系統工程,旭錫工程有限公司,2016-07-06,2021-01-06,1645,4000000,749000,0.19,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210107&fn=BDM-1-53303009.xml
2021,屏東縣屏東市公所,北興里公裕街169巷等道路改善工程,鴻甲營造有限公司,2017-10-20,2021-01-06,1174,15000000,388000,0.03,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210107&fn=BDM-1-53302953.xml
2020,屏東縣屏東市公所,龍華里龍華路237巷排水溝加蓋工程,甘霖土木包工業,1984-04-13,2020-12-30,13410,1100000,750000,0.68,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201231&fn=BDM-1-53295381.xml
2020,屏東縣屏東市公所,109-屏東市新生里和生路一段817巷道路排水改善工程,旭廷營造有限公司,2014-12-24,2020-12-30,2198,3600000,908000,0.25,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201231&fn=BDM-1-53295407.xml
2020,屏東縣屏東市公所,屏東市110年度轄區路燈地下管線檢修工程（開口契約）,春金電氣行,1970-03-07,2020-12-30,18561,1000000,940000,0.94,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201231&fn=BDM-1-53295362.xml
2020,屏東縣屏東市公所,110年度屏東市清潔隊各式車輛輪胎換補,佳和工作所,1980-04-21,2020-12-30,14863,7000,1850000,264.29,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201231&fn=BDM-1-53295336.xml
